##BLOCKS= 2          																					
Plate:	Plate#1	1.3	PlateFormat	Spectrum	Absorbance	Raw	FALSE	41			350	750	10			1	12	96	1	8	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12								
350	20.2	0.71075	0.67575	0.10975	0.17575	0.13475	0.21875	0.39975	0.38375	0.39475	0.66775	0.36475	0.51575								
		0.18675	0.14775	0.18375	0.29075	0.23275	0.18475	0.18875	0.38475	0.27475	0.36175	0.76275	0.45275								
		0.25475	0.22675	0.20875	0.24575	0.19375	0.21075	0.22575	0.24275	0.27575	0.19675	0.29975	0.25175								
		0.19075	0.19875	0.26075	0.20775	0.30975	0.24775	0.18675	0.16375	0.17975	0.15375	0.24375	0.13275								
		0.16675	0.15275	0.17775	0.16975	0.13075	0.09275	0.25975	0.16675	0.10975	0.17375	0.18975	0.12475								
		0.17875	0.14475	0.12175	0.16475	0.14775	0.19175	0.16475	0.18475	0.21075	0.14375	0.15975	0.18075								
		0.09775	-0.01725	0.06775	-0.02225	0.02475	0.04975	-0.04025	-0.03925	-0.03825	-0.03525	-0.03325	-0.01425								
		-0.01625	-0.02925	-0.03725	-0.03025	-0.03225	-0.03825	-0.03625	-0.03525	-0.03325	-0.02325	-0.03225	-0.03325								
																					
360	20.2	0.706	0.659	0.114	0.189	0.148	0.248	0.425	0.416	0.431	0.724	0.417	0.57								
		0.221	0.184	0.218	0.333	0.282	0.24	0.245	0.481	0.336	0.42	0.832	0.497								
		0.309	0.275	0.25	0.302	0.236	0.258	0.282	0.302	0.34	0.241	0.355	0.294								
		0.233	0.246	0.325	0.256	0.387	0.313	0.234	0.156	0.168	0.145	0.23	0.127								
		0.159	0.147	0.17	0.165	0.124	0.091	0.248	0.158	0.104	0.168	0.179	0.12								
		0.176	0.138	0.121	0.155	0.142	0.183	0.159	0.175	0.197	0.137	0.128	0.172								
		0.097	-0.013	0.067	-0.024	0.027	0.051	-0.04	-0.039	-0.038	-0.035	-0.032	-0.021								
		-0.019	-0.032	-0.038	-0.032	-0.034	-0.04	-0.037	-0.036	-0.035	-0.024	-0.033	-0.034								
																					
370	20.2	0.71425	0.68125	0.12725	0.21425	0.17025	0.28725	0.47025	0.45625	0.47225	0.79625	0.47625	0.62225								
		0.26725	0.22425	0.27025	0.39025	0.34225	0.30325	0.30725	0.56825	0.39625	0.48025	0.90325	0.54425								
		0.36125	0.32325	0.30125	0.35925	0.28925	0.31725	0.34325	0.36425	0.40925	0.29425	0.41025	0.34025								
		0.28425	0.30125	0.39125	0.31525	0.46825	0.38025	0.29125	0.16125	0.17025	0.14725	0.23225	0.13125								
		0.16225	0.15125	0.17325	0.17125	0.13025	0.09725	0.25225	0.16425	0.10925	0.17325	0.17725	0.12225								
		0.17825	0.14025	0.12425	0.16125	0.14925	0.19325	0.16525	0.18225	0.19725	0.14225	0.12625	0.17625								
		0.09425	-0.01475	0.06625	-0.02275	0.02725	0.05125	-0.03975	-0.03775	-0.03775	-0.03475	-0.03075	-0.02075								
		-0.02475	-0.03375	-0.03875	-0.03475	-0.03675	-0.03775	-0.03575	-0.03675	-0.03775	-0.02475	-0.03275	-0.03675								
																					
380	20.2	0.7385	0.6985	0.1455	0.2485	0.2015	0.3305	0.5215	0.5035	0.5215	0.8685	0.5405	0.6775								
		0.3085	0.2665	0.3145	0.4385	0.3945	0.3495	0.3575	0.6315	0.4425	0.5285	0.9695	0.5885								
		0.4005	0.3615	0.3405	0.4095	0.3315	0.3665	0.3955	0.4205	0.4705	0.3385	0.4615	0.3795								
		0.3245	0.3455	0.4525	0.3655	0.5485	0.4435	0.3385	0.1755	0.1845	0.1585	0.2475	0.1415								
		0.1765	0.1645	0.1905	0.1855	0.1465	0.1115	0.2625	0.1795	0.1215	0.1745	0.1825	0.1225								
		0.1895	0.1525	0.1365	0.1705	0.1635	0.1755	0.1725	0.1985	0.2155	0.1555	0.1365	0.1755								
		0.0915	-0.0175	0.0645	-0.0225	0.0285	0.0525	-0.0385	-0.0355	-0.0365	-0.0345	-0.0305	-0.0215								
		-0.0325	-0.0355	-0.0405	-0.0385	-0.0385	-0.0375	-0.0355	-0.0375	-0.0395	-0.0265	-0.0325	-0.0385								
																					
390	20.2	0.780167	0.687167	0.173167	0.297167	0.237167	0.393167	0.583167	0.552167	0.566167	0.940167	0.604167	0.738167								
		0.352167	0.307167	0.361167	0.487167	0.442167	0.376167	0.391167	0.630167	0.454167	0.536167	0.997167	0.610167								
		0.416167	0.383167	0.369167	0.445167	0.360167	0.399167	0.431167	0.461167	0.514167	0.373167	0.500167	0.410167								
		0.358167	0.383167	0.501167	0.406167	0.604167	0.493167	0.377167	0.202167	0.212167	0.181167	0.272167	0.162167								
		0.204167	0.190167	0.221167	0.215167	0.171167	0.131167	0.291167	0.202167	0.143167	0.193167	0.206167	0.141167								
		0.214167	0.176167	0.157167	0.189167	0.175167	0.196167	0.197167	0.216167	0.232167	0.179167	0.157167	0.197167								
		0.089167	-0.017833	0.063167	-0.021833	0.027167	0.051167	-0.036833	-0.034833	-0.034833	-0.032833	-0.029833	-0.021833								
		-0.032833	-0.034833	-0.038833	-0.036833	-0.037833	-0.036833	-0.033833	-0.037833	-0.038833	-0.025833	-0.031833	-0.037833								
																					
400	20.2	0.823917	0.759917	0.198917	0.335917	0.267917	0.445917	0.631917	0.586917	0.596917	0.979917	0.634917	0.758917								
		0.374917	0.325917	0.382917	0.504917	0.459917	0.372917	0.394917	0.582917	0.433917	0.515917	0.982917	0.599917								
		0.401917	0.376917	0.367917	0.448917	0.362917	0.402917	0.437917	0.467917	0.520917	0.379917	0.509917	0.414917								
		0.364917	0.390917	0.513917	0.415917	0.619917	0.505917	0.387917	0.230917	0.239917	0.206917	0.294917	0.174917								
		0.232917	0.215917	0.249917	0.244917	0.199917	0.152917	0.325917	0.229917	0.163917	0.218917	0.235917	0.161917								
		0.242917	0.201917	0.171917	0.223917	0.204917	0.225917	0.219917	0.247917	0.263917	0.189917	0.177917	0.227917								
